hemisphere,Year,Month,mean_extent
north,1978,10,10.402666666666667
north,1978,11,11.645133333333332
north,1978,12,13.667062500000002
north,1979,1,15.414
north,1979,2,16.175285714285714
north,1979,3,16.3419375
north,1979,4,15.446799999999996
north,1979,5,13.856866666666665
north,1979,6,12.53
north,1979,7,10.311250000000001
north,1979,8,8.04106666666667
north,1979,9,7.051133333333332
north,1979,10,8.7479375
north,1979,11,10.943066666666665
north,1979,12,13.336266666666667
north,1980,1,14.861874999999998
north,1980,2,15.955142857142857
north,1980,3,16.0413125
north,1980,4,15.429066666666667
north,1980,5,13.792599999999998
north,1980,6,12.204600000000003
north,1980,7,10.1000625
north,1980,8,7.984266666666666
north,1980,9,7.667066666666666
north,1980,10,9.18275
north,1980,11,11.382866666666668
north,1980,12,13.592933333333331
north,1981,1,14.9096875
north,1981,2,15.604071428571428
north,1981,3,15.631533333333332
north,1981,4,15.009933333333331
north,1981,5,13.801625000000003
north,1981,6,12.429733333333335
north,1981,7,10.270999999999997
north,1981,8,7.844312500000002
north,1981,9,7.138466666666667
north,1981,10,8.856266666666667
north,1981,11,10.929
north,1981,12,13.341124999999998
north,1982,1,15.176733333333333
north,1982,2,15.973499999999998
north,1982,3,16.043875
north,1982,4,15.466000000000001
north,1982,5,13.973199999999999
north,1982,6,12.476066666666668
north,1982,7,10.367062500000001
north,1982,8,8.139533333333334
north,1982,9,7.301733333333333
north,1982,10,9.421062500000001
north,1982,11,11.627466666666667
north,1982,12,13.641799999999996
north,1983,1,14.942437499999999
north,1983,2,16.00614285714286
north,1983,3,16.085266666666666
north,1983,4,15.172066666666664
north,1983,5,13.4913125
north,1983,6,12.295666666666666
north,1983,7,10.570266666666667
north,1983,8,8.185875
north,1983,9,7.3946000000000005
north,1983,10,9.334066666666667
north,1983,11,11.461
north,1983,12,13.298437500000002
north,1984,1,14.473266666666667
north,1984,2,15.298933333333332
north,1984,3,15.584200000000001
north,1984,4,15.014466666666666
north,1984,5,13.576687499999998
north,1984,6,12.151666666666667
north,1984,7,9.977533333333334
north,1984,8,7.771062499999999
north,1984,9,6.805199999999998
north,1984,10,8.560599999999999
north,1984,11,10.841533333333333
north,1984,12,12.989437500000001
north,1985,1,14.724866666666665
north,1985,2,15.465714285714288
north,1985,3,15.885937500000002
north,1985,4,15.356533333333335
north,1985,5,14.0734
north,1985,6,12.219066666666665
north,1985,7,9.7445625
north,1985,8,7.401866666666666
north,1985,9,6.697666666666666
north,1985,10,8.5459375
north,1985,11,11.024533333333332
north,1985,12,13.049933333333334
north,1986,1,14.889624999999999
